keyword,created_at_local_time,screen_name,user_URL,tweet_URL,tweet_text,hashtag1,hashtag2
medicare,2020-08-03 10:41:11,behrooz_hm,https://twitter.com/behrooz_hm,https://twitter.com/i/web/status/1290085270310629376,@SandroDemaio The challenge is that utilisation of Medicare mental health services have not been increasing over the past few months. I think a better and more targeted communication around the availability of these services is necessary. @orygen_aus https://t.co/CyA7X2i2Nr,,
medicare,2020-08-02 13:53:06,bellarozz,https://twitter.com/bellarozz,https://twitter.com/i/web/status/1289771180530966529,Australia is meant to have a universal health care insurance scheme covering primary health care services. Mental health care is critical for saving lives. We need the @ausgov to increase the number of Medicare-funded psychology sessions urgently.,,
medicare,2020-08-03 18:04:02,FeneleyJohn,https://twitter.com/FeneleyJohn,https://twitter.com/i/web/status/1290196718080819200,"RT @HM_Christensen: Good to see 10 extra Medicare subsidised psychological therapy sessions for those subject to stage 4 lockdown, critical…",,
medicare,2020-08-03 13:21:11,AmandaLNeil,https://twitter.com/AmandaLNeil,https://twitter.com/i/web/status/1290125535100596224,RT @MentalHealthVic: A welcome extension of Medicare subsidised sessions for ppl under further #COVID19Vic restrictions to receive #mentalh…,COVID19Vic,COVID19Vic
medicare,2020-08-02 17:18:18,Melissankennedy,https://twitter.com/Melissankennedy,https://twitter.com/i/web/status/1289822818851381248,RT @TimRRead: We need to lift the limit on the number of Medicare-funded psychology sessions @GregHuntMP. Fears for people on mental health…,,
medicare,2020-08-02 13:34:16,FiMelb99,https://twitter.com/FiMelb99,https://twitter.com/i/web/status/1289766440610836480,RT @TimRRead: We need to lift the limit on the number of Medicare-funded psychology sessions @GregHuntMP. Fears for people on mental health…,,
medicare,2020-08-04 11:43:45,AASW_,https://twitter.com/AASW_,https://twitter.com/i/web/status/1290463401953710080,MEDIA RELEASE: Social workers welcome an increase in Medicare mental health sessions in lockdown areas: a start but not the full answer #COVID19 #auspol @GregHuntMP   https://t.co/AVWf73imgD https://t.co/2ssAMyLD0B,auspol,COVID19
medicare,2020-08-03 15:59:36,DrPhoebeHK,https://twitter.com/DrPhoebeHK,https://twitter.com/i/web/status/1290165402970939392,"RT @HM_Christensen: Good to see 10 extra Medicare subsidised psychological therapy sessions for those subject to stage 4 lockdown, critical…",,
medicare,2020-08-02 19:23:16,ConnellShayne,https://twitter.com/ConnellShayne,https://twitter.com/i/web/status/1289854269743435776,RT @LivingWorksAus: We welcome news #Medicare Better Access program will be expanded to provide Victorians access to a further 10 sessions…,Medicare,Medicare
medicare,2020-08-02 16:51:38,liz_baillie,https://twitter.com/liz_baillie,https://twitter.com/i/web/status/1289816109651132417,RT @TimRRead: We need to lift the limit on the number of Medicare-funded psychology sessions @GregHuntMP. Fears for people on mental health…,,
depression,2020-07-28 18:15:07,blackdoginst,https://twitter.com/blackdoginst,https://twitter.com/i/web/status/1288025179914985473,Are you a #psychologist with experience treating #youngpeople? We're interested in hearing your perspectives on mood monitoring and whether it predicts vulnerability to #depression. Get involved here: https://t.co/R80CkB3Zyw https://t.co/hQdccEUicS,depression,youngpeople
depression,2020-07-28 20:46:14,lealovinglifea1,https://twitter.com/lealovinglifea1,https://twitter.com/i/web/status/1288063206641082368,RT @DennisVehlen: @EU_Commission @EuropeanYouthEU @GabrielMariya Are you aware that some people suffer from depression one step away from s…,,
depression,2020-07-28 01:48:57,GillPirthi,https://twitter.com/GillPirthi,https://twitter.com/i/web/status/1287777002708074501,"RT @ManjotD57047569: #ReuniteTheFamilies #letuscomehome #LoveIsNotTourism We all are going through depression. You all have families, pleas…",letuscomehome,ReuniteTheFamilies
